campaign;DRN;site;running_id;date;stream_type;avg_depth_macroinvertebrates;avg_velocity_macroinvertebrates;Max_wetted_width_m;Min_wetted_width_m;Average_wetted_width_m;Bankfull_at_max__wetted_width_m;Bankfull_at_min__wetted_width_m;Embeddedness;bedrock;boulders;cobbles;gravel;sand;silt;particle_size;state_of_flow;if_IP_number_and_size_2_axes_+_depth_of_the_pools;Maximum_depth_cm;temperature_C;ph;conductivity_micros_cm;oxygen_mg_l;oxygen_sat;discharge_l_s;filamentous_algae;incrusted_algae;macrophyte_cover;leaf_litter_cover;moss_cover;wood_cover;reach_length_m;Latitude;Longitude;altitude_m;basin_area_km2;calcareous_geology_upstream;siliceous_geology_upstream;sedimentary_geology_upstream;slope;riparian_cover_in_the_riparian_area;native_riparian_species_richness;invasive_riparian_species_richness;left_river_bank_slope;right_river_bank_slope;shade;hydromorphological_alteration;volume_biofilm;m2_biofilm
1;Finland;LEP06;LEP06_1;13.4.2021;TR;17.5;0.23125;2.2;0.4;1.035;2.2;0.4;60;10;15;20;20;30;5;3.4;F;;25;3.9;4.59;18;8.14;;14.77;0;0;0;2;5;1;50;60.336843;24.60056;80;0.4975;0;0;0;6.364167497;10;5;0;5;5;80;2;200;0.0245
1;Finland;LEP07;LEP07_1;13.4.2021;TR;19.625;0.46375;3;0.5;1.745;3;0.5;20;0;5;7;5;83;0;2.34;F;;27;3.6;4.63;18;9.32;;69.09;0;0;1;4;10;3;50;60.329621;24.636853;65;1.2243;0;0;0;8.256404915;100;5;0;20;30;60;1;200;0.0303
1;Finland;LEP08;LEP08_1;13.4.2021;TR;31.77777778;0.383333333;1.5;0.7;1.195;1.5;0.7;40;0;55;10;5;10;20;3.7;F;;40;4.3;4.65;23;9.35;;81.84;0;0;0;0;10;1;50;60.298508;24.64354;53;1.5595;0;0;0;0.409235056;100;4;0;20;20;80;2;200;0.0332
1;Finland;LEP09;LEP09_1;13.4.2021;TR;24.875;0.4375;6;1.2;2.65;6;1.2;60;30;20;10;10;20;10;4;F;;40;3.8;4.53;16;9.48;;156.28;0;0;2;0;8;10;50;60.329393;24.703003;53;1.415;0;0;0;4.645826101;100;4;0;5;20;60;1;200;0.031
1;Finland;LEP10;LEP10_1;13.4.2021;TR;15.625;0.3575;4.5;0.8;2.53333333;4.5;0.8;50;30;15;10;3;0;42;3.46;F;;37;3.9;5.44;20;9.58;;74.89;0;0;0;4;4;8;50;60.3522;24.69313;37;1.3;0;0;0;4.159555071;100;5;0;40;20;80;1;200;0.0597
1;Finland;LEP11;LEP11_1;14.4.2021;PR;48.35714286;0.713571429;5.6;3.7;5.029;5.6;3.7;45;0;5;3;0;1;91;1.3;F;;105;4.1;6.54;63;8.22;;1133.8;0;0;0;0;1;3;100;60.388047;24.523806;48;18.8479;0;0;8;0.973651075;80;4;0;40;40;70;3;200;0.0444
1;Finland;LEP12;LEP12_1;14.4.2021;PR;41.42857143;0.855714286;7.6;4.76;5.866;7.6;4.76;35;0;83;5;2;0;10;4.51;F;;90;4.1;6.33;55;8.99;;2126.37;0;0;0;0;5;1;100;60.363523;24.640857;38;58.4476;0;0;7;1.798212265;100;4;0;10;40;80;2;200;0.0447
1;Finland;LEP13;LEP13_1;14.4.2021;TR;24.375;0.53375;4.4;2;2.92;4.4;2;45;0;2;45;3;35;15;2.84;F;;35;3.7;6.3;61;9.68;;276.31;0;0;0;5;15;10;60;60.358292;24.627062;61;3.6296;0;0;0;3.449561113;100;7;0;20;20;75;1;200;0.0288
1;Finland;LEP14;LEP14_1;14.4.2021;PR;54;0.454285714;11.3;6.8;8.08;11.3;6.8;35;5;15;5;0;0;75;2;F;;100;4.1;5.55;33;9.61;;1536.22;0;0;5;0;5;5;110;60.362754;24.652477;36;30.0057;0;0;0;0.737899617;100;6;0;;;;2;200;0.0481
1;Finland;LEP15;LEP15_1;14.4.2021;TR;17.25;0.14375;1.35;0.3;0.905;1.35;0.3;35;0;15;20;45;10;10;3.2;F;;22;4;5.8;17;9.35;;15.65;0;0;0;0;7;4;50;60.356613;24.635035;64;0.4318;0;0;0;9.71404946;100;4;0;20;20;40;1;200;0.0347
1;Finland;LEP16;LEP16_1;15.4.2021;PR;39.64705882;0.594117647;9.6;3.7;6.37;9.6;3.7;35;0;5;75;14;1;5;3.74;F;;65;3.2;6.43;68;9.2;;837.36;0;0;0;1;30;5;100;60.384522;24.558029;45;33.1103;0;0;12;0.892570807;100;5;0;20;20;60;;200;0.0431
1;Finland;LEP17;LEP17_1;15.4.2021;PR;24.625;0.485;4.6;0.9;2.605;4.6;0.9;70;5;5;5;10;5;70;1.85;F;;39;3.7;6.25;34;9.86;;127.24;0;0;0;2;5;8;50;60.324942;24.626211;59;5.0801;0;0;0;9.549622616;100;5;0;40;20;90;1;200;0.0332
1;Finland;LEP18;LEP18_1;15.4.2021;PR;19.25;0.42375;2.5;1.15;1.755;2.5;1.15;80;0;0;1;45;0;54;1.93;F;;38;2.6;5.51;21;10.05;;84.27;0;0;0;0;2;4;50;60.354234;24.672479;38;2.8944;0;0;0;0.604094651;100;2;0;10;10;60;4;200;0.0136
