Campaign;Site;Country;Date;Sample.ID;Acroloxus.sp.;Alboglossiphonia.sp.;Ancylus.sp.;Anodonta.sp.;Aphelocheirus.sp.;Aplexa.sp.;Asellus.sp.;Astacus.sp.;Atyaephyra.sp.;Aulodrilus.sp.;Austropotamobius.sp.;Bithynia.sp.;Bythinella.sp.;Carychium.sp.;Chaoboridae.Gen..sp.;Dendrocoelidae.Gen..sp.;Dina.sp.;Dixidae.Gen..sp.;Dugesiidae.Gen..sp.;Echinogammarus.sp.;Eiseniella.sp.;Embolocephalus.sp.;Enchytraeidae.Gen..sp.;Erpobdella.sp.;Galba.sp.;Gammarus.sp.;Glossiphonia.sp.;Gyraulus.sp.;Haemopis.sp.;Haplotaxis.sp.;Helobdella.sp.;Hemiclepsis.sp.;Italobdella.sp.;Limnodrilus.sp.;Lumbricidae.Gen..sp.;Lumbriculidae.Gen..sp.;Lymnaea.sp.;Melanopsis.sp.;Mercuria.sp.;Micronecta.sp.;Muscidae.Gen..sp.;Naididae.Gen..sp.;Nais.sp.;Niphargidae.Gen..sp.;Niphargus.sp.;Octochaetidae.Gen..sp.;Ophidonais.sp.;Oxyloma.sp.;Pacifastacus.sp.;Physa.sp.;Physella.sp.;Pisidium.sp.;Planariidae.Gen..sp.;Planorbarius.sp.;Planorbis.sp.;Platambus.sp.;Polycelis.sp.;Potamopyrgus.sp.;Pristina.sp.;Proasellus.sp.;Radix.sp.;Radomaniola.sp.;Rhagionidae.Gen..sp.;Segmentina.sp.;Sphaerium.sp.;Spirosperma.sp.;Stagnicola.sp.;Succinea.sp.;Succinella.sp.;Synurella.sp.;Theromyzon.sp.;Trocheta.sp.;Tubificidae.Gen..sp.;Turbellaria.Gen..sp.;Unio.sp.;Valvata.sp.;Vertigo.sp.;Viviparus.sp.;Zonitoides.sp.
1;VEL15;Czech Republic;18.3.2021;VEL15-2021-03-18-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VEL16;Czech Republic;17.3.2021;VEL16-2021-03-17-MINVS;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;83;0;0;0;0;0;0
1;VEL17;Czech Republic;15.3.2021;VEL17-2021-03-15-MINVS;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0
1;VEL18;Czech Republic;23.3.2021;VEL18-2021-03-23-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;2;0;0;652;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VEL19;Czech Republic;23.3.2021;VEL19-2021-03-23-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;2460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;0;0;0;0;0;0
1;VEL20;Czech Republic;17.3.2021;VEL20-2021-03-17-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;34;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
1;VEL21;Czech Republic;17.3.2021;VEL21-2021-03-17-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;142;0;0;0;0;0;0
2;VEL01;Czech Republic;4.5.2021;VEL01-2021-05-04-MINVS;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;110;0;0;0;0;0;0
2;VEL03;Czech Republic;5.5.2021;VEL03-2021-05-05-MINVS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;VEL04;Czech Republic;5.5.2021;VEL04-2021-05-05-MINVS;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;584;0;0;0;0;24;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0
2;VEL05;Czech Republic;4.5.2021;VEL05-2021-05-04-MINVS;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;66;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;124;306;0;0;0;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
